,precision,recall,f1-score,support
Chatbot interaction,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
Code Comprehension,0.6,0.7058823529411765,0.6486486486486487,17.0
Concept Comprehension,0.813953488372093,0.875,0.8433734939759037,40.0
Copying Notebook Questions,0.8823529411764706,1.0,0.9375,15.0
Error Comprehension,1.0,0.875,0.9333333333333333,8.0
Fix this code / error,0.42857142857142855,0.375,0.4,8.0
Pasting Code Without Explanation,0.0,0.0,0.0,2.0
Question Comprehension,0.0,0.0,0.0,5.0
Random,0.0,0.0,0.0,1.0
Task Related Delegation,0.3333333333333333,0.5,0.4,2.0
accuracy,0.719626168224299,0.719626168224299,0.719626168224299,0.719626168224299
macro avg,0.450265563589777,0.47753267973856206,0.46072999204023307,107.0
weighted avg,0.673725904184756,0.719626168224299,0.6943096584367274,107.0
