,precision,recall,f1-score,support
Chatbot interaction,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
Code/Concept Comprehension,0.8412698412698413,0.9298245614035088,0.8833333333333333,57.0
Copying Notebook Questions,0.8823529411764706,1.0,0.9375,15.0
Error Comprehension,1.0,0.875,0.9333333333333333,8.0
Fix this code / error,0.42857142857142855,0.375,0.4,8.0
Pasting Code Without Explanation,0.0,0.0,0.0,2.0
Question Comprehension,0.0,0.0,0.0,5.0
Random,0.0,0.0,0.0,1.0
Task Related Delegation,0.3333333333333333,0.5,0.4,2.0
accuracy,0.7757009345794392,0.7757009345794392,0.7757009345794392,0.7757009345794392
macro avg,0.4366635543106131,0.4582521117608837,0.4442901234567901,107.0
weighted avg,0.7222702164978141,0.7757009345794392,0.7465342679127726,107.0
